customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Mark Moore,0iq2fa39@outlook.com,Spain,2024-08-13,Standard,18674.76
2,Jennifer Jackson,v7c9hx3d@mail.com,UK,2020-03-28,Standard,2626.82
3,Sandra Roberts,0rnpm6jq@outlook.com,Canada,2023-06-11,Basic,30887.16
4,Christopher Thomas,otckeh5s@gmail.com,Australia,2024-05-20,Basic,18019.69
5,Andrew Perez,r6snglh6@company.com,Canada,2024-07-14,Standard,26518.67
6,Thomas Garcia,dxj37c9h@email.com,Brazil,2024-09-14,Premium,8887.41
7,Daniel Perez,0mvzmuf8@test.com,Norway,2021-09-24,Premium,24572.78
8,Jennifer Johnson,ihsa7hez@mail.com,Canada,2020-02-14,Premium,29371.8
9,Barbara Thompson,dsnczxvm@mail.com,France,2020-11-18,Basic,47439.81
10,Kimberly Lee,lzu6wmx3@email.com,China,2024-02-12,Basic,14796.41
11,Susan Martin,azu41ugl@example.com,UK,2022-10-13,Premium,16625.3
12,Michael Davis,mlw83y0m@gmail.com,Japan,2021-03-05,Premium,34689.49
13,Matthew Rodriguez,2zbppfo5@mail.com,Norway,2022-02-07,Premium,41457.47
14,Thomas Garcia,q2bajdm5@outlook.com,Mexico,2023-01-25,Premium,16963.73
15,Steven Harris,b7f6fdhg@company.com,China,2021-09-01,Premium,4886.2
16,Margaret Jackson,trbad3wr@yahoo.com,USA,2021-02-27,Premium,31945.71
17,Jennifer Thomas,4lorxdtg@email.com,Brazil,2021-01-17,Standard,2326.38
18,Mark Anderson,j4ufzdy3@email.com,Italy,2023-02-07,Premium,42055.78
19,Emily Wilson,8y7uiko4@gmail.com,Sweden,2023-03-15,Basic,40042.47
20,Barbara Jones,8q8ghgbc@email.com,Spain,2024-08-11,Basic,7479.12
21,Charles Hernandez,66cnoljq@gmail.com,Sweden,2024-05-19,Standard,5714.69
22,Barbara Brown,uu8dd225@mail.com,South Korea,2021-06-24,Standard,32773.9
23,Steven Johnson,gowyoo5y@gmail.com,Switzerland,2021-07-04,Standard,1109.62
24,Nancy Martinez,krzd5e9p@mail.com,Japan,2024-02-01,Standard,30288.46
25,Jennifer Miller,p6orsnc2@yahoo.com,China,2023-12-24,Basic,20228.92
26,Emily Collins,ug5hcbbm@example.com,Japan,2022-01-24,Standard,25305.81
27,Linda White,bnvg5vmf@company.com,Mexico,2021-08-06,Premium,19389.63
28,Richard Edwards,u84xyjoa@gmail.com,Switzerland,2020-09-27,Basic,8742.71
29,James Davis,j2k8xpnm@company.com,Spain,2022-08-13,Standard,33892.09
30,Margaret Jackson,dsx4nxvk@yahoo.com,Switzerland,2020-05-10,Standard,49419.21
31,Daniel Edwards,jx8xgsic@email.com,India,2023-10-26,Premium,36092.03
32,Kimberly Martinez,jpnbzug0@example.com,Norway,2023-07-31,Standard,45335.67
33,Matthew Taylor,kgxukq00@outlook.com,India,2023-09-02,Premium,11190.45
34,Thomas Martin,5p5nvqeb@yahoo.com,Switzerland,2024-12-26,Premium,25073.82
35,John Taylor,kb4ehou6@test.com,France,2021-10-09,Basic,9099.8
36,Jennifer Thomas,l9lcqh1u@outlook.com,Switzerland,2024-05-27,Premium,6557.36
37,Sandra Lee,pprat086@example.com,USA,2023-10-17,Premium,31371.68
38,Sarah Davis,ymenvg3k@company.com,Netherlands,2024-01-30,Basic,29858.86
39,Lisa Wilson,59m6mg87@email.com,USA,2021-04-12,Premium,36385.72
40,David Miller,0vgnxb5j@gmail.com,Canada,2023-09-17,Premium,32713.02
41,Mary Johnson,ypntrfzw@company.com,South Korea,2023-09-17,Premium,33157.9
42,Karen Martin,ve3dzeed@example.com,Spain,2024-05-12,Standard,41591.79
43,Joseph Lopez,zkbrh7la@yahoo.com,UK,2024-09-06,Basic,33484.19
44,Barbara Williams,2c06xq9j@gmail.com,UK,2024-07-23,Premium,43719.61
45,Christopher Lopez,2l0d1b4x@outlook.com,India,2022-01-02,Standard,47758.95
46,Karen Collins,0nmeoq4y@test.com,South Korea,2023-08-21,Premium,5741.52
47,Patricia Edwards,fov2ygnm@gmail.com,France,2022-09-16,Standard,5735.58
48,Donald Anderson,bjlzy1uu@mail.com,Sweden,2022-12-07,Basic,35058.95
49,William Wilson,ximyn4u9@gmail.com,USA,2023-08-10,Premium,25327.82
50,Steven Edwards,rf1llkst@email.com,Australia,2024-07-31,Premium,4033.65
51,Mark Perez,udrl90ao@gmail.com,Norway,2023-01-29,Premium,41312.85
52,Nancy Collins,shy8nbiq@test.com,Brazil,2024-01-06,Standard,5789.77
53,Thomas Smith,m38kszbf@outlook.com,South Korea,2020-08-07,Standard,30581.5
54,Joseph Jones,7oq2zdo7@yahoo.com,Netherlands,2022-07-25,Basic,29506.88
55,Paul Brown,8a0tpv72@outlook.com,Germany,2024-02-05,Premium,5267.34
56,Daniel Taylor,5pvyiomk@outlook.com,France,2022-04-25,Basic,35030.71
57,Paul Martinez,4tl0thhz@mail.com,France,2023-12-25,Basic,48761.46
58,Susan Taylor,twz1uu7z@company.com,South Korea,2024-07-13,Premium,26184.23
59,Mary Gonzalez,fyh1fkj4@company.com,Spain,2024-03-23,Basic,1712.09
60,Mark Jones,wyuixns2@company.com,Canada,2022-02-20,Standard,20886.66
61,Daniel Moore,b0h54piw@mail.com,Norway,2024-02-21,Basic,9903.81
62,Joseph Martinez,q9c80ebk@company.com,France,2020-11-25,Basic,42316.11
63,James Hernandez,q7b7v1w4@company.com,Switzerland,2024-06-05,Basic,27552.99
64,Michael Perez,zs8s2fto@mail.com,Italy,2024-12-14,Premium,33200.39
65,Lisa Lopez,k8wru1xe@mail.com,Netherlands,2021-05-07,Basic,30723.68
66,Sarah Johnson,yl68ntk6@mail.com,Sweden,2024-07-02,Basic,22333.29
67,Robert Martinez,6gs8g8ta@yahoo.com,Spain,2023-10-04,Basic,38701.76
68,Sandra Roberts,dtz91x70@outlook.com,USA,2022-07-29,Basic,16652.6
69,Jennifer Williams,b2uuijnw@email.com,India,2020-02-04,Standard,33697.61
70,Andrew Smith,xw1vzc7d@company.com,Mexico,2021-07-30,Standard,19132.54
71,Mary Thomas,fh024kwk@mail.com,USA,2023-02-07,Basic,7154.56
72,Robert Smith,uotdh00h@outlook.com,Germany,2021-01-11,Premium,30882.56
73,Charles Miller,eyub19tx@yahoo.com,China,2023-10-07,Premium,12609.31
74,Joseph Martin,u8myikcg@test.com,Netherlands,2021-11-03,Basic,33005.17
75,Barbara Jackson,u38gl2zx@company.com,Brazil,2020-10-02,Basic,36675.34
76,Steven Anderson,q1rdxck3@example.com,Japan,2024-02-11,Basic,3915.47
77,Michael Collins,asbuov6t@test.com,France,2022-01-19,Standard,11243.0
78,Christopher Brown,qsosx43w@outlook.com,Sweden,2020-10-14,Standard,8045.2
79,Barbara Martin,07b1ijiy@mail.com,Australia,2022-08-19,Standard,44089.44
80,Robert Lee,lzs34jtg@email.com,Brazil,2023-04-18,Basic,44921.51
81,Michael Taylor,j9io3m25@gmail.com,Sweden,2024-12-11,Premium,22050.95
82,Thomas Williams,skffv3xo@mail.com,UK,2022-09-13,Basic,23992.85
83,Jessica Jackson,f4abufwb@outlook.com,Canada,2020-12-06,Standard,46130.1
84,Emily Gonzalez,vuazxkdq@test.com,Switzerland,2020-12-15,Premium,41535.14
85,Barbara Perez,u1wsgy7v@yahoo.com,Italy,2022-02-13,Standard,6697.44
86,Mary Miller,s6y3vg6v@yahoo.com,Mexico,2022-09-14,Basic,6603.41
87,Andrew Roberts,a7ypp5zp@test.com,Australia,2021-12-18,Basic,40250.59
88,William Wilson,eri4k5og@gmail.com,Sweden,2020-08-29,Basic,458.98
89,Jessica Harris,2odpvjtu@company.com,Australia,2024-03-26,Premium,20720.09
90,Donna Thomas,gur9u1oe@yahoo.com,Italy,2022-07-03,Basic,47467.33
91,William Miller,s22wybow@yahoo.com,France,2022-08-23,Basic,21825.33
92,Michael Rodriguez,hcbn9wsz@gmail.com,Germany,2023-08-04,Standard,22004.71
93,Joseph Edwards,x2kbvsig@gmail.com,Brazil,2021-05-04,Basic,114.33
94,Richard Williams,92movs0c@yahoo.com,Norway,2021-08-05,Basic,41505.26
95,Matthew Lopez,8jvh7ujo@yahoo.com,Norway,2020-05-28,Basic,14783.17
96,Linda Perez,sjt2jpnr@example.com,India,2024-05-07,Standard,34111.57
97,Mary Thomas,ecw9yil8@gmail.com,Japan,2021-05-23,Standard,4741.17
98,Lisa Williams,tglhug07@example.com,Switzerland,2024-02-18,Premium,11819.58
99,Sarah Edwards,ji44m2ec@test.com,USA,2024-04-14,Basic,47903.86
100,Steven Lopez,wr965r96@company.com,Australia,2021-03-30,Basic,6499.47
101,Emily Perez,p7bm41qe@test.com,India,2023-11-12,Premium,689.82
102,Jessica Gonzalez,ulwjtiqw@mail.com,Germany,2022-10-18,Standard,10605.57
103,Betty Lopez,4kgeuidj@example.com,Norway,2022-06-04,Standard,9883.55
104,Barbara Thomas,3gr94sz2@company.com,Japan,2023-02-25,Basic,2480.69
105,William Harris,fhj4d0jm@company.com,Brazil,2020-02-10,Standard,6149.75
106,Joseph Jackson,uxg2myr0@yahoo.com,Australia,2023-06-10,Standard,23241.23
107,Barbara Edwards,g3mwu4cf@example.com,India,2021-10-10,Basic,14638.68
108,Karen Martin,xjq5nv8o@outlook.com,USA,2020-09-13,Basic,11807.9
109,Charles Martin,zcgdc5ta@email.com,Sweden,2024-04-15,Premium,5286.03
110,Barbara Williams,x5likwe4@gmail.com,Canada,2023-09-20,Standard,43032.4
111,Daniel Edwards,r9tjq8zg@test.com,South Korea,2022-12-08,Basic,32012.46
112,Nancy Reeves,mt2pnjka@outlook.com,Brazil,2021-08-10,Standard,26801.43
113,Kimberly Thompson,rapkiano@email.com,Australia,2021-05-26,Premium,35775.41
114,John Roberts,njpi163y@company.com,Norway,2024-07-14,Standard,20703.9
115,Michael Garcia,edqqzrlf@gmail.com,Germany,2020-07-28,Standard,13532.84
116,Mark Martin,adahp2rn@gmail.com,India,2020-06-13,Premium,2896.31
117,Margaret Williams,tg6jna9z@email.com,Netherlands,2021-05-21,Basic,49727.32
118,Joseph Anderson,0dxho87f@gmail.com,Norway,2022-12-02,Premium,12740.31
119,Nancy Miller,mby9ipa2@yahoo.com,Australia,2024-06-04,Premium,545.6
120,Robert Jackson,2rvndfdw@gmail.com,Canada,2021-12-29,Basic,7780.53
121,Andrew Perez,drluxm60@gmail.com,Australia,2022-01-03,Basic,6823.14
122,Robert Thomas,zutrutlq@outlook.com,Mexico,2022-12-23,Premium,22524.27
123,Charles Moore,nawnga41@example.com,India,2024-01-16,Premium,32948.64
124,Andrew Roberts,nsrtwlxd@yahoo.com,Canada,2024-09-06,Premium,9014.08
125,Robert Miller,dgbxnrwv@gmail.com,Brazil,2021-03-28,Basic,35920.48
126,James Reeves,7x73qxm0@email.com,Brazil,2024-06-14,Basic,3009.17
127,Karen Taylor,bck88d0t@example.com,Spain,2022-12-13,Basic,12513.28
